root,m_lemma,m_gender,m_definition,f_lemma,f_gender,f_definition,n_lemma,n_gender,n_definition
air,airman,N,someone who operates an aircraft,airwoman,F,a woman aviator,,,
assembly,assemblyman,N,someone who is a member of a legislative assembly,assemblywoman,F,a woman assemblyman,,,
beggar,beggarman,M,a man who is a beggar,beggarwoman,F,a woman who is a beggar,,,
bionic_,bionic_man,,a human being whose body has been taken over in whole or in part by electromechanical devices,bionic_woman,F,a human being whose body has been taken over in whole or in part by electromechanical devices,,,
black_,black_man,M,a man who is Black,black_woman,F,a woman who is Black,black_person,N,a person with dark skin who comes from Africa (or whose ancestors came from Africa)
bonds,bondsman,M,a male slave,bondswoman,F,someone who signs a bond as surety for someone else,,,
bonds,bondsman,M,a male slave,bondswoman,F,a female bound to serve without wages,,,
bonds,bondsman,M,a male slave,bondswoman,F,a female slave,,,
bond,bondman,M,a male bound to serve without wages,bondwoman,F,a female bound to serve without wages,,,
bond,bondman,M,a male bound to serve without wages,bondwoman,F,a female slave,,,
business,businessman,N,a person engaged in commercial or industrial business (especially an owner or executive),businesswoman,F,a female businessperson,businessperson,N,a capitalist who engages in industrial commercial enterprise
chair,chairman,N,the officer who presides at the meetings of an organization,chairwoman,F,the officer who presides at the meetings of an organization,chairperson,N,the officer who presides at the meetings of an organization
char,,,,charwoman,F,a human female employed to do housework,,,
clans,clansman,N,a member of a clan,clanswoman,F,a member of a clan,,,
cleaning_,,,,cleaning_woman,F,a human female employed to do housework,,,
comfort_,,,,comfort_woman,F,a woman forced into prostitution for Japanese servicemen during World War II,,,
committee,committeeman,M,a man who is a member of committee,committeewoman,F,a woman who is a member of a committee,,,
congress,congressman,N,a member of the United States House of Representatives,congresswoman,F,a member of the United States House of Representatives,,,
cornish,cornishman,M,a man who is a native or inhabitant of Cornwall,cornishwoman,F,a woman who is a native or resident of Cornwall,,,
council,councilman,M,a man who is a council member,councilwoman,F,a woman who is a council member,,,
counter,counterman,N,someone who attends a counter (as in a diner),counterwoman,F,someone who attends a counter (as in a diner),counterperson,N,someone who attends a counter (as in a diner)
country,countryman,M,a man from your own country,countrywoman,F,a woman who lives in the country and has country ways,,,
country,countryman,M,a man from your own country,countrywoman,F,a woman from your own country,,,
disagreeable_,,,,disagreeable_woman,F,a woman who is an unpleasant person,disagreeable_person,N,a person who is not pleasant or agreeable
english,englishman,M,a man who is a native or inhabitant of England,englishwoman,F,a woman who is a native or inhabitant of England,,,
enlisted_,enlisted_man,M,a male enlisted person in the armed forces,enlisted_woman,F,a female enlisted person in the armed forces,enlisted_person,N,a serviceman who ranks below a commissioned officer
fancy_,fancy_man,N,someone who procures customers for whores (in England they call a pimp a ponce),fancy_woman,F,a woman who engages in sexual intercourse for money,,,
fancy_,fancy_man,N,someone who procures customers for whores (in England they call a pimp a ponce),fancy_woman,F,an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man,,,
foolish_,,,,foolish_woman,F,a female fool,,,
fore,foreman,N,a person who exercises control over workers,forewoman,F,a woman who is foreperson of a jury,foreperson,N,the presiding member of the jury and the one who speaks on their behalf
fore,foreman,N,a person who exercises control over workers,forewoman,F,a woman in charge of a group of workers,foreperson,N,the presiding member of the jury and the one who speaks on their behalf
freed,freedman,N,a person who has been freed from slavery,freedwoman,F,a person who has been freed from slavery,,,
free,freeman,N,a person who is not a serf or a slave,freewoman,F,a person who is not a serf or a slave,,,
french,frenchman,N,a person of French nationality,frenchwoman,F,a person of French nationality,,,
frontiers,frontiersman,M,a man who lives on the frontier,frontierswoman,F,a woman who lives on the frontier,,,
gay_,gay_man,M,a homosexual man,gay_woman,F,a female homosexual,,,
gentle,gentleman,M,a man of refinement,gentlewoman,F,a woman of refinement,,,
honest_,,,,honest_woman,F,a wife who has married a man with whom she has been living for some time (especially if she is pregnant at the time),,,
horse,horseman,M,a man skilled in equitation,horsewoman,F,a woman horseman,,,
irish,irishman,M,a man who is a native or inhabitant of Ireland,irishwoman,F,a woman who is a native or inhabitant of Ireland,,,
jury,juryman,N,someone who serves (or waits to be called to serve) on a jury,jurywoman,F,someone who serves (or waits to be called to serve) on a jury,,,
kept_,,,,kept_woman,F,an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man,,,
kins,kinsman,M,a male relative,kinswoman,F,a female relative,kinsperson,N,a person having kinship with another or others
laundry,laundryman,,operates industrial washing machine,laundrywoman,F,a working woman who takes in washing,,,
lollipop_,,,,lollipop_woman,F,a woman hired to help children cross a road safely near a school,,,
loose_,,,,loose_woman,F,a woman adulterer,,,
mad,madman,N,an insane person,madwoman,F,a woman lunatic,,,
married_,married_man,M,a married man; a woman's partner in marriage,married_woman,F,a married woman; a man's partner in marriage,married_person,,a person's partner in marriage
needle,,,,needlewoman,F,someone who makes or mends dresses,,,
newspaper,newspaperman,,a journalist employed to provide news stories for newspapers or broadcast media,newspaperwoman,F,a journalist employed to provide news stories for newspapers or broadcast media,,,
news,newsman,N,a person who investigates and reports or edits news stories,newswoman,F,a female newsperson,newsperson,N,a person who investigates and reports or edits news stories
noble,nobleman,,a titled peer of the realm,noblewoman,F,a woman of the peerage in Britain,,,
oars,oarsman,N,someone who rows a boat,oarswoman,F,a woman oarsman,,,
old_,old_man,M,a man who is very old,old_woman,F,a woman who is old,old_person,N,an elderly person
outdoors,outdoorsman,N,"a person who spends time outdoors (e.g., hunting or fishing)",outdoorswoman,F,"a woman who spends time outdoors (e.g., hunting and fishing)",,,
point_,point_man,N,someone who is the forefront of an important enterprise,point_woman,F,a woman who is the forefront of an important enterprise,,,
police,policeman,N,a member of a police force,policewoman,F,a woman policeman,,,
sales,salesman,M,a man salesperson,saleswoman,F,a woman salesperson,salesperson,N,a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
scotch,scotchman,N,a native or inhabitant of Scotland,scotchwoman,F,a woman who is a Scot,,,
scots,scotsman,N,a native or inhabitant of Scotland,scotswoman,F,a woman who is a Scot,,,
select,selectman,N,an elected member of a board of officials who run New England towns,selectwoman,F,an elected member of a board of officials who run New England towns,,,
slovenly_,,,,slovenly_woman,F,a dirty untidy woman,slovenly_person,N,a coarse obnoxious person
spokes,spokesman,M,a male spokesperson,spokeswoman,F,a female spokesperson,spokesperson,N,an advocate who represents someone else's policy or purpose
sports,sportsman,N,someone who engages in sports,sportswoman,F,someone who engages in sports,,,
states,statesman,M,a man who is a respected leader in national or international affairs,stateswoman,F,a woman statesman,,,
stunt_,stunt_man,,a stand-in for movie stars to perform dangerous stunts,stunt_woman,F,a stand-in for movie stars to perform dangerous stunts,,,
unmarried_,unmarried_man,M,a man who has never been married,unmarried_woman,F,a woman who is not married,,,
unpleasant_,,,,unpleasant_woman,F,a woman who is an unpleasant person,unpleasant_person,N,a person who is not pleasant or agreeable
vestry,vestryman,M,a man who is a member of a church vestry,vestrywoman,F,a woman who is a member of a church vestry,,,
washer,washerman,,operates industrial washing machine,washerwoman,F,a working woman who takes in washing,,,
wash,,,,washwoman,F,a working woman who takes in washing,,,
white_,white_man,M,a man who is White,white_woman,F,a woman who is White,white_person,N,a member of the Caucasoid race
widow_,,,,widow_woman,F,a woman whose husband is dead especially one who has not remarried,,,
,man,M,an adult person who is male (as opposed to a woman),woman,F,an adult female person (as opposed to a man),,,
,man,M,an adult person who is male (as opposed to a woman),woman,F,a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man,,,
,man,M,an adult person who is male (as opposed to a woman),woman,F,a human female employed to do housework,,,
wonder_,,,,wonder_woman,F,a woman who can be a successful wife and have a professional career at the same time,,,
yachts,yachtsman,N,a person who owns or sails a yacht,yachtswoman,F,a person who owns or sails a yacht,,,
yellow_,yellow_man,,offensive term for an Asian man,yellow_woman,F,offensive term for an Asian woman,,,
young_,young_man,N,a teenager or a young adult male,young_woman,F,a young woman,young_person,N,a young person (especially a young man or boy)
east_ger,young_man,N,a native or inhabitant of the former republic of East Germany,east_gerwoman,,,east_german,N,a native or inhabitant of the former republic of East Germany
fresh,young_man,N,a first-year undergraduate,freshwoman,,,freshman,N,a first-year undergraduate
ger,young_man,N,a person of German nationality,gerwoman,,,german,N,a person of German nationality
nor,young_man,PPN,United States operatic soprano (born in 1945),norwoman,,,norman,PPN,United States operatic soprano (born in 1945)
otto,young_man,N,a Turk (especially a Turk who is a member of the tribe of Osman I),ottowoman,,,ottoman,N,a Turk (especially a Turk who is a member of the tribe of Osman I)
ro,young_man,N,a resident of modern Rome,rowoman,,,roman,N,a resident of modern Rome
a._e._hous,young_man,PPN,English poet (1859-1936),a._e._houswoman,,,a._e._housman,PPN,English poet (1859-1936)
abel_janszoon_tas,young_man,PPN,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659),abel_janszoon_taswoman,,,abel_janszoon_tasman,PPN,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
